"","amount2d","bathrooms2","bedrooms","details2d"
"1",135412,2,2,"https://www.zillow.com/homedetails/520-S-Oak-St-Cortez-CO-81321/117920430_zpid/"
"2",152348,2,3,"https://www.zillow.com/homedetails/710-Wedgewood-St-Cortez-CO-81321/117919764_zpid/"
"3",142912,2,3,"https://www.zillow.com/homedetails/323-W-Montezuma-Ave-Cortez-CO-81321/117920311_zpid/"
"4",161248,1,3,"https://www.zillow.com/homedetails/909-Brookside-Dr-Cortez-CO-81321/117919950_zpid/"
"5",151748,1,3,"https://www.zillow.com/homedetails/603-N-Chestnut-St-Cortez-CO-81321/113183690_zpid/"
"6",210620,2,3,"https://www.zillow.com/homedetails/649-Geralds-Way-Cortez-CO-81321/2091281087_zpid/"
"7",158037,2,3,"https://www.zillow.com/homedetails/931-Brookside-Dr-Cortez-CO-81321/117920006_zpid/"
"8",173071,1,3,"https://www.zillow.com/homedetails/146-W-Montezuma-Ave-Cortez-CO-81321/113183635_zpid/"
"9",104445,1,2,"https://www.zillow.com/homedetails/311-S-Maple-St-Cortez-CO-81321/113183778_zpid/"
"10",191315,3,3,"https://www.zillow.com/homedetails/1711-Rolling-Rd-Cortez-CO-81321/117919825_zpid/"
"11",156088,1,2,"https://www.zillow.com/homedetails/325-S-Harrison-St-Cortez-CO-81321/113183938_zpid/"
"12",153171,1,3,"https://www.zillow.com/homedetails/905-Brookside-Dr-Cortez-CO-81321/113182995_zpid/"
"13",180581,2,3,"https://www.zillow.com/homedetails/509-N-Market-St-Cortez-CO-81321/117920255_zpid/"
"14",177395,2,3,"https://www.zillow.com/homedetails/704-San-Juan-Dr-Cortez-CO-81321/113184282_zpid/"
"15",147036,1,3,"https://www.zillow.com/homedetails/822-Edith-St-Cortez-CO-81321/117919944_zpid/"
"16",179949,2,3,"https://www.zillow.com/homedetails/1548-Balsam-St-Cortez-CO-81321/113182679_zpid/"
"17",214193,2,3,"https://www.zillow.com/homedetails/2003-Center-St-Cortez-CO-81321/113182676_zpid/"
"18",167373,2,3,"https://www.zillow.com/homedetails/1225-Edith-St-Cortez-CO-81321/113182894_zpid/"
"19",181818,2,3,"https://www.zillow.com/homedetails/515-S-Oak-St-Cortez-CO-81321/117920601_zpid/"
"20",133283,2,2,"https://www.zillow.com/homedetails/420-S-Valley-Rd-Cortez-CO-81321/117920570_zpid/"
"21",165740,1,3,"https://www.zillow.com/homedetails/617-N-Beech-St-Cortez-CO-81321/117920302_zpid/"
"22",150194,1,4,"https://www.zillow.com/homedetails/822-E-3rd-St-Cortez-CO-81321/117920169_zpid/"
"23",227121,2,3,"https://www.zillow.com/homedetails/515-Texas-St-Cortez-CO-81321/117920100_zpid/"
"24",176483,2,3,"https://www.zillow.com/homedetails/1451-Acoma-St-Cortez-CO-81321/117919955_zpid/"
"25",239193,2,3,"https://www.zillow.com/homedetails/1641-Cochita-Dr-Cortez-CO-81321/117919844_zpid/"
"26",137124,1,3,"https://www.zillow.com/homedetails/810-Ridge-Dr-Cortez-CO-81321/117919778_zpid/"
